word,doc_id,sent_id,tok_id,sentence,predicted_sense,gold_label_manual
plant,84459,3,27,the policy change comes in the wake of increasing phosphorus pollution over the last two decades that has spawned deadly algae blooms wiping out fish and native plant species,1,2
plant,45038,1,13,police evacuated the residents living near unocal corp s chemical division polymer manufacturing plant as a precaution when irritating fumes drifted through the area following the a m,1,1
plant,5421,16,38,in addition westinghouse has agreed to work for an improvement in the quality of life in the surrounding communities and to use the university structure in the state to assist in research and development at the savannah river plant thurmond said,1,1
plant,43879,4,17,robertson said the donations will be used for cleanup operations and to collect local seed grow seedlings plant trees control erosion and repair damaged facilities,1,2
plant,90431,4,0,plant visits are standard campaign fare and democratic front runner michael dukakis has been doing his own share of factory tours,1,1
plant,74791,22,1,the plant can process canisters a day and each will be moved separately by a vehicle weighing pounds to an adjacent warehouse able to store canisters temporarily,1,1
plant,68911,2,20,meanwhile chrysler opened separate talks tuesday with local union leaders from kenosha wis over the closing of a worker assembly plant and a pact covering workers at a remaining engine plant,1,1
plant,59720,21,12,the plant used its own emergency crews to fight the blaze and plant officials did not allow police and firefighters inside the plant,1,1
plant,9468,16,66,reminding the audience of the remark bush made in the soviet union that soviet workers could give a lesson in quality dukakis said those republicans in washington love to blame american workers first the dukakis campaign had prepared pink slips for today to show that the election is days off the notice period required under legislation opposed by the reagan administration that would require notification of plant closings,1,1
plant,42781,6,17,psc earlier had announced that if it could not find third party assistance to continue operating the plant as a nuclear facility it would cease nuclear operations in or,1,1
plant,68860,21,22,should further antitrust concerns arise the ftc has six months to decide whether pepperell must sell off a sheeting mill a yarn plant certain designer licenses and a brand name,1,1
plant,36119,20,6,after a three month closure the plant was reopened oct,1,1
plant,68691,2,30,according to ryszard bocian a solidarity activist in krakow the strike at the lenin mill in the krakow suburb of nowa huta began this morning in three departments of the plant and spread later to a fourth,1,1
plant,52721,16,22,the following day a final pre flight test firing of the redesigned solid fuel booster rocket is planned at the morton thiokol plant in utah,1,1
plant,80550,20,43,dukakis repeated his criticism of the administration s handling of pentagon contracts later in sturtevant wisc where he toured a plant that makes metal casings for auto transmissions and other machinery dukakis spoke to about people in the parking lot of the wisconsin plant where he said that bringing labor and management together will be a major challenge to me if i m president about anti abortion and other demonstrators chanted protest slogans for much of his speech,1,1
plant,83167,39,7,security is not extraordinary at the ball plant since the pennies are shipped as blanks he said,1,1
plant,33820,22,39,roemer who described herself as a lifelong political activist most concerned with persuading qualified people to run for office said mccrery cast a couple of votes that put up little red flags including opposition to a day notification for plant closings and a catastrophic health care bill,1,1
plant,43124,7,18,at a subsequent hearing last september ibp officials said their earlier testimony was based on misunderstandings between the plant s medical director and a vice president of the company,1,1
plant,16919,14,11,based on these records the agency would decide how often a plant would be personally checked by federal inspectors,1,1
plant,1573,15,14,yesterday we held yet another meeting and again communists voted to go to work plant director b,1,1
plant,25409,20,15,august sales were slowed by dealer shortages of compact omni and horizon models after a plant conversion shutdown chrysler spokesman tom houston said,1,1
plant,71493,23,13,in sacramento county a measure seeking closure of the rancho seco nuclear power plant could mark the first time in history that voters have directly ordered the shutdown of such a facility,1,1
plant,76752,18,11,the iwa bargains for workers at champion s roseburg ore plywood plant,1,1
plant,2268,16,3,officials say the plant produces times the volume of lettuce per acre as conventional agriculture and nearly six times as much produce per acre as a greenhouse,1,2
plant,41971,9,17,pravda objected to the decision and pointed out that a similar town also miles from the power plant has been decontaminated and repopulated,1,1
plant,44780,5,24,sites in alabama arizona california colorado florida and texas while about two dozen soviet inspectors have begun a year monitoring assignment at a hercules plant in magna utah where pershing rocket engines were manufactured,1,1
plant,40258,11,26,the office of management and budget recently acted to hold next year s budget equal to the current million said henry shands coordinator of the national plant germplasm system,1,1
plant,4629,7,17,dukakis refused to submit evacuation plans for massachusetts towns located within miles of the stalled new hampshire plant which sununu supports,1,1
plant,26634,21,8,the labor contract at the sioux falls morrell plant expires nov,1,1
plant,84238,19,1,the plant was imported because it was thought unable to reproduce itself here and therefore safe,1,1
plant,92674,26,11,interest on the loans the philippine government took to build the plant cost an estimated per day,1,1
plant,75374,3,45,he declined to give other details or name the potential foreign partners saying premature disclosure could upset the negotiations or ruin their business earlier tuesday the minister said in a speech to the conference that the disaster at the soviet union s chernobyl nuclear power plant has prompted increased use of gas and other fuels to make electricity,1,1
plant,75933,24,8,in his speech to workers at the aluminum plant dukakis questioned the the republican administration s claim to have created millions of new jobs,1,1
plant,19207,1,47,earlier at a rally at a ford plant the massachusetts governor said the bill is the right thing to do and it s the fair thing to do it would be tragic he told reporters at the airport if the bill were vetoed because of a mild plant closing provision the bill which won easy house passage thursday and seems destined for similar senate action next week would overhaul the nation s foreign trade laws,1,1
plant,75056,2,16,of colorado in denver said the radiation leak monday posed no danger to the public or plant workers,1,1
plant,51317,1,26,some lawmakers however believe even tougher legislation is needed in the wake of the energy department s acknowledgement that its aging reactors at the savannah river plant near aiken s c have experienced problems and that other plants have spewed radioactivity into the environment,1,1
plant,58579,10,18,it went boom and then boom again said adam mashia who lives less than a mile from the plant,1,1
plant,8088,6,31,they just went off the road and wrecked authorities said more than people were injured and one person was killed by the explosions which struck just before noon wednesday at the plant that manufactures ingredients for space shuttle rocket fuel,1,1
plant,20919,4,20,it also accused chernobyl s managers of trying to resolve at any cost obstacles to full electricity production at the plant to the detriment of the quality of repair and maintenance of extremely intricate equipment,1,1
plant,76392,15,7,voter sponsored measure b would order the plant s immediate and permanent closure,1,1
plant,71330,1,12,financial problems stemming from its investment in the stalled seabrook nuclear power plant prompted company to seek federal bankruptcy reorganization protection earlier this year,1,1
plant,35677,11,1,defense plant near dallas for another speech,1,1
plant,24650,5,10,chrysler announced last month it planned to close the kenosha plant by fall,1,1
plant,75338,19,16,it could mark the first time in history that voters directly ordered closure of a nuclear plant,1,1
plant,94482,1,0,plant has begun docking the company a portion of contract payments for work on the mx missile the service and company said tuesday,1,1
plant,6966,15,51,i don t know what the president s going to do when he gets this bill said senate minority leader bob dole of kansas who called the vote a big victory for the labor leaders in america reagan had indicated he would sign a trade bill that did not include the plant closing measure,1,1
plant,15047,0,6,toxic gas leaked from a chemical plant sunday forcing an estimated people in two states from their homes officials said,1,1
plant,47079,34,27,should the agreement be approved by various state agencies and portions of it by the state legislature it would mark the first time a completed nuclear power plant was abandoned before it opened,1,1
plant,65932,15,29,tva is the largest electric utility in the country capable of producing more than million kilowatts from hydroelectric plants coal fired steam plants four combustion turbines and one nuclear plant,1,1
bank,29085,10,8,the statement in leaflets distributed in the west bank and gaza strip was the first reaction by the pro plo leadership to sunday s announcement by king hussein that he was cutting ties with the west bank,1,2
bank,51390,14,25,they sometimes masquerade as arabs donning traditional keffiyeh headdresses and driving vehicles with distinctive license plates reserved for arab owned cars blue in the west bank and white in the gaza strip,2,2
bank,63866,3,18,the program announced by the official xinhua news agency also calls for such anti inflation measures as tightening bank credit limiting state investment to major civic projects and limiting the rapid growth of workers wages and bonuses,2,1
bank,25657,20,30,mena said thursday that the blue nile had covered houses on the island of tuti facing khartoum and the government was instructing inhabitants to place sand bags along the river bank to stop the rising waters,1,2
bank,54358,14,3,what would the bank be able to do,2,1
bank,78304,0,21,a federal judge has sentenced two former bank officers to prison for contributing to the near collapse of continental illinois national bank amp trust co,2,1
bank,56736,6,32,a new york times account in friday s editions said commercial banks in west germany france britain italy and japan have signaled their intention to lend more than billion to moscow s bank for foreign economic affairs,2,1
bank,93931,14,3,rose to and bank of new york dropped to,2,1
bank,3753,23,15,police spoke to him at his home friday and took him saturday to the river bank where the body was found,1,2
bank,65348,18,18,and a firebomb attack that killed an israeli mother and her three children in the israeli occupied west bank oct,1,2
bank,2112,43,20,sexton said her fund raising contact assured her that her money was safer with the larouche organization than with her bank because the banks are our enemies but wayne hintz a former larouche finance officer and larouche aide franklin harrison bell both disputed government contentions that there was a policy not to repay the loans,2,1
bank,20134,9,18,the administration has been reluctant to criticize israel s use of force against palestinians in the occupied west bank and gaza strip where palestinians and four israeli settlers have been killed since arab unrest began in december,1,2
bank,875,43,22,israeli officials say the increase in cross border raids is linked to the five month palestinian uprising in the israeli occupied west bank and gaza strip,1,2
bank,56567,18,8,a federal judge in chicago sentenced two former bank officers to prison for contributing to the near collapse of continental illinois national bank amp trust co,2,1
bank,924,0,14,soldiers shot three palestinians to death tuesday during anti occupation rioting in the west bank,2,2
bank,54754,5,34,the meetings with kravis and drexel were just a general presentation of the purchase not a request for a specific amount of funds an official at dai ichi kangyo bank the world s largest bank said it had not received a detailed analysis of the transaction or of plans to sell off certain rjr assets a common way to finance corporate takeovers,2,1
bank,84500,1,4,the federal home loan bank board which regulates federally insured s amp ls created a new institution to receive billion in deposits of the silverado banking savings and loan association which was ordered closed by colorado regulators,2,1
bank,68149,11,23,inflation for the first seven months of the year reached percent while the annual rate between july and july was percent the central bank said,2,1
bank,51474,13,8,hudson s investigators have found foreign or offshore bank accounts tied to some of the principals in the case and he said they are seeking foreign bank records always a delicate issue and,2,1
bank,661,14,14,sweden s newest billionaire is per arwidsson who took a small loan from a bank eight years ago and parlayed it into a fortune on the stock market the magazine said,2,1
bank,71859,7,8,streets in the towns of the occupied west bank and gaza strip were nearly deserted today and shops shuttered after an underground plo leaflet called for a general strike and three days of protests to coincide with shultz s visit,1,2
bank,93336,8,6,the clashes occurred in the west bank s largest city nablus in the villages of kabatiya and beit lid to the north and in gaza city they said,2,2
bank,78576,4,21,on tuesday the council is expected to end its extraordinary four day meeting with a declaration of independence for the west bank and gaza strip where palestinians have for months been revolting against israel s year occupation,1,2
bank,40628,2,2,republic national bank of new york said gold bullion was bid at a troy ounce as of p m,2,1
bank,65691,5,3,and chase manhattan bank both of which have equity stakes in cardinal acquisition,2,1
bank,11524,11,2,originally granted bank of new york until may to finish the deal and has now extended the deadline three times,2,1
bank,508,0,19,israeli soldiers reportedly killed two arab protesters and wounded more than a dozen wednesday and strikers paralyzed the west bank and gaza strip in a day of confrontation ordered by leaders of the palestinian uprising,1,2
bank,54239,7,16,will the dark clouds of pessimism and limited possibility obscure our vision michael dukakis continuing to bank on a harry truman like comeback in politics as you all know days is an eternity,2,1
bank,39175,3,12,the toymaker said the filing followed the refusal of its short term bank lenders to agree to provide the company with an adequate working capital credit line,2,1
bank,37681,15,7,tucker has taken a job with a bank in philadelphia,2,1
bank,72416,22,7,army radio said masked men entered west bank schools thursday and urged students to leave classes and demonstrate,2,2
bank,88887,7,30,dealers in london and frankfurt said there was no evidence of central bank intervention in dollar trading for the first time in several weeks although there were reports that the bank of england sold sterling for other european currencies to stem the pound s recent rise,2,1
bank,34881,20,41,dingell and markey are using the study in their efforts to counter bills that would repeal or substantially alter the glass steagall act which separated commercial and investment banking in the wake of the stock market crash and subsequent wave of bank failures,2,1
bank,95069,11,1,the bank board for the first time has drawn foreign investors into its effort to bail out sick s amp ls in the southwest,2,1
bank,78419,26,23,the death of year old alam hamtouli raised to the number of palestinians killed in the uprising against israeli occupation of the west bank and gaza strip which began dec,1,2
bank,31022,7,13,meanwhile bank of japan governor satoshi sumita told reporters that japan s central bank was closely watching for a possible move by the federal reserve kyodo news service said,2,1
bank,37488,6,15,my infatuation is with the talking teller at the money network station at first national bank downtown he said,2,1
bank,23537,13,9,we have support in states and money in the bank,2,1
bank,69582,30,4,jackson had in the bank and in debts,2,1
bank,80029,22,2,knight s bank accounts and investments,2,1
bank,12799,21,2,a bad bank called new west federal savings amp loan association was formed specifically to sell off foreclosed loans unprofitable real estate investments and other bad assets,2,1
bank,86434,21,26,the guests edward said a columbia university professor and ibrahim abu lughud of northwestern university said they complained to shultz about israeli occupation of the west bank and gaza strip where arabs have been killed in recent demonstrations,1,2
bank,37071,27,5,a merger between new york bank and irving would create one of the nation s largest bank holding companies with combined assets of more than billion,2,1
bank,78312,4,12,patterson the head of energy lending at the now defunct penn square bank of oklahoma city,2,1
bank,58441,8,23,at the time of the collapse marcinkus was the head of the institute for religious works ior the formal title of the vatican bank,2,1
bank,63625,17,18,rice said banca commerciale s offer would provide shareholders with substantially more value than the offer by the bank of new york co and we urge our shareholders to reject the bny offer at saturday s annual shareholders meeting,2,1
bank,82694,35,10,army officials confirmed wounded in gaza and in the west bank and said they would check further,2,2
bank,74457,2,14,the eight palestinians were visited by their families at jneid prison in the west bank before being driven away relatives said,2,2
bank,86857,14,9,paul district of farm credit services which includes the bank,2,1
bank,58777,20,13,the union also has demonstrated at the new york offices of chase manhattan bank another pittston lender and union officials have contacted state government officials in michigan one of pittston s biggest stockholders,2,1
bank,71598,10,14,the fslic which guarantees deposits up to is paying billion to american diversified savings bank and million to north america savings and loan association,2,1
bank,70082,9,7,security pacific the state s second largest bank behind bank of america is the chief subsidiary of security pacific corp which posted a million loss for the fourth quarter of when it set aside million for possible future losses on latin american loans,2,1
bank,29180,15,30,laware was named chairman of the company and given a deal under which the corporation will continue his annual salary of about until he is even if he leaves the bank,2,1
bank,30634,2,10,the longtime newspaperman also was director of f amp m bank and trust co,2,1
bank,48654,4,10,the concern is the holding company for the perpetual savings bank the largest thrift in the washington area,2,1
bank,14250,20,5,many israelis feel the west bank and gaza captured in the middle east war are part of israel by biblical tradition,1,2
bank,15192,8,10,sperow who works at a print shop was at the bank waiting in line when when a guy jumped over the counter yelling it s a holdup,2,1
bank,36696,8,8,last summer lytle pleaded guilty to misapplication of bank funds and was sentenced to years in federal prison,2,1
bank,11524,5,1,before bank of new york can press on with its billion offer valued at about a share it must win a ruling from a new york appeals court affirming a lower court decision in late july that overturned irving s anti takeover defense,2,1
bank,69696,4,9,another said the gunmen shot the hostages inside the bank,2,1
bank,88173,1,18,awaiting his formal nomination on wednesday dukakis saw the opening night of the democratic national convention on a bank of color televisions in his penthouse suite at a hotel just blocks from the convention hall,2,1
bank,60857,11,9,jimpson shot grantham at a parking lot of a bank where she was an assistant vice president,2,1
bank,6264,5,26,an exchange dealer at a major commercial bank who spoke on condition of anonymity said the local market seemed to be testing whether japan s central bank would take any action to stem the dollar s rise,2,1
bank,91579,5,7,trust operations account for percent of the bank s business,2,1
bank,69300,15,22,other issues awaiting assembly action included a recommendation that the church call for israel to end its repressive occupation of the west bank and gaza strip and that the church ask the u s,1,1
bank,33997,3,8,reed chairman of citicorp the nation s largest bank,2,1
bank,6962,0,16,israeli troops shot and wounded a year old arab boy during clashes in the occupied west bank wednesday hospital officials said and assailants hurled two firebombs at a bus in jewish west jerusalem,2,1
bank,18290,7,20,the tzomet crossroads and moledet homeland parties which each won two seats call for the annexation of the occupied west bank and gaza strip,1,1
bank,30343,0,16,a palestinian hurled a homemade bomb today at an israeli army patrol in the occupied west bank town of ramallah slightly injuring one soldier the military command said,2,2
bank,7964,5,23,during the seven minute court session friday prosecutor robert wardle said buteau had been issuing false guarantees of payment on behalf of the bank s london branch so that alleged co conspirator tina jeffe a french doctor turned financial consultant could attract domestic and foreign corporations into her investment business,2,1
bank,68410,8,20,a palestinian died tuesday of wounds suffered the day before in a clash with soldiers in the pekoah a west bank village an army spokesman said,2,2
bank,55281,33,3,despite more than bank failures so far this year banking as a whole posted record profits totaling billion in the first nine months of the year,2,1
bank,73838,3,2,republic national bank of new york said gold bullion was bid at a troy ounce as of p m,2,1
bank,4701,21,9,i realize that they question the effectiveness of world bank programs he said,2,1
bank,48839,28,9,the supreme court rejected an appeal by the west bank human rights group law in the service of man that israel restore international telephone and telex lines to the israeli occupied lands,2,2
bank,78519,14,29,a unity government would not only blunt the power of the orthodox parties but would relieve shamir of pressure from the extreme right which demands annexation of the west bank and gaza and the expulsion of million palestinians who live there,1,2
bank,53929,2,28,financial authorities believe that these measures in mexico build upon the progress already achieved in the sustained adjustment effort undergone by the mexican economy the treasury and central bank said in a statement,2,1
bank,39776,18,5,the government also says the bank should have been suspicious in part because de la mata knew thule was trying to sell the house,2,1
bank,17943,0,1,a bank robber fired the bullet that killed an year old woman hostage one of three people who died in a hour crime spree across west germany and the netherlands officials said today,2,1
bank,3254,5,10,includes cash in circulation deposits in checking accounts and non bank travelers checks,2,1
bank,83274,5,8,currency according to takamasa yamazaki of the daiwa bank,2,1
bank,67608,21,34,it seems to me we have a war going on here but it is being treated like a demonstration said haim granit a brigadier general in the reserve army who lives in the west bank settlement of elkana,2,2
bank,69522,10,27,the state court said a franchise tax paid for the privilege of doing business in the state is not the same as a direct tax on a bank s income,2,1
bank,8939,0,8,president jose sarney on thursday fired the central bank director responsible for a massive jump in money market interest rates that caused stock prices to tumble and sparked a frenzy of rumors in financial markets,2,1
bank,93473,9,6,in other reports federal reserve said bank borrowings from the federal reserve system at the discount window averaged million in the latest week down from billion in the previous week,2,1
bank,56870,6,7,a trader with a major italian commercial bank in milan predicted the dollar s going to fall more next week but not much more today he said that as traders squared their positions ahead of the weekend the dollar could even recover strength,2,1
bank,27075,8,26,stockholders would receive up to percent of the new stock while about percent of the shares in the reorganized company would go to heck s major bank and other uninsured creditors,2,1
bank,42100,14,4,in the summer of bank board analysts were warning that loans made by american and the old state savings on real estate had been made without adequate analysis of the true value of the properties,2,1
bank,78399,0,10,graffiti spray painted along a hilly street in this west bank city gave a message of intransigence to the palestinian leaders meeting in algeria,2,1
bank,81523,9,10,pohlad said the new company would become the fourth largest bank holding company in texas with about billion in assets and banking offices,2,1
bank,74989,1,7,it was the first time that the bank which is owned by countries has lent money for aids in latin america,2,1
bank,84906,5,2,the world bank and its sister organization the international monetary fund are holding their joint annual meetings this year in berlin,2,1
bank,74838,4,7,the banks are the hungarian foreign trade bank and budapest bank,2,1
bank,64014,26,13,saeb erakat a political science professor at an najah university in the west bank said the uprising is a message to the israelis the americans and the arabs we don t want to become israeli,2,2
bank,80073,3,2,since the bank itself is not permitted to make loans other institutions will make loans through it frank w,2,1
bank,45556,2,1,the bank took all our money marguerite leffelman said angrily,2,1
bank,62209,6,3,in the west bank village of rai near nablus troops shot and killed two arabs after a patrol was pelted with rocks and bottles the army said,2,2
bank,197,7,19,such packages usually include loans by the fund itself by commercial banks and by intergovernmental lenders like the world bank,2,1
bank,45304,4,14,currency jumped sharply in frankfurt but was brought lower when the west german central bank intervened to sell dollars they said,2,1
bank,14951,6,0,bank of new york spokesman owen brady denied the bank was issuing an ultimatum,2,1
seal,76751,7,11,district judge rya zobel placed the countersuit and other documents under seal but made them public monday after she reviewed them,2,2
seal,90213,23,2,in october seal told a presidential organized crime commission that he quit his job as an airline pilot because smuggling was so simple so lucrative he said he easily eluded detection to fly tons of cocaine into the united states for a top fee of million,1,2
seal,23217,26,10,i was with president reagan as he put his final seal on his historic arms control treaty with the soviet union,2,2
seal,11954,17,63,the defense secretary also cited success in establishing a good rapport with his soviet counterparts impressing upon leaders around the world the dangers posed by the proliferation of long range missiles convincing congress to pass legislation allowing obsolete military bases to be closed and getting congress through a silly season earlier this year when some politicians were demanding the military be used to seal the nation s borders against drugs,1,2
seal,25701,1,4,an emaciated female gray seal at least years old was found dead last sunday at sibbarp south of malmo on sweden s southwest coast,1,1
seal,3929,11,33,the faa said it did not actually ground the jet but pointed out the problems including eight inches of peeling metal skin on a wing flap and a cabin door that would not seal properly,1,2
seal,66869,7,22,as evening fell some strikers huddled over fires at the gates roasting sausages and half a dozen police vans drove up to seal off the shipyard,1,2
seal,82224,7,30,the request to unseal the documents were made in a petition filed by the washington post which argued that a month already had passed since the documents were put under seal and there has been considerable public interest in the investigation,1,2
seal,49935,15,7,the rogers commission found that a faulty seal in a joint in a solid fuel booster rocket made by morton thiokol was to blame for the explosion,1,2
seal,18037,13,3,inside the usda seal,1,
seal,90769,1,29,the dollar bill that caught his eye during a transaction at his coin shop in nearby clayton is a rarity because it bears no treasury department seal no district seal and no serial number,1,2
seal,36461,2,32,to many filmmakers an x rating or even a family oriented g means box office poison and obtaining a pg or an r has become imperative the equivalent of a mass marketing seal of approval,2,2
seal,35298,9,26,in amman jordan plo foreign affairs spokesman farouk kaddoumi said tuesday before the suit was filed we will keep the office open until the american police seal it off,1,2
seal,25786,9,3,environmentalists call the seal epidemic one of the worst ecological disasters ever,1,1
seal,16218,4,20,while governments argue over who is to blame for the current crisis in the north and baltic seas the common seal in this area faces extinction said greenpeace spokesman andrew booth,1,1
seal,80359,19,19,most of the hearing centered on the news leak to the washington times which published its story on the seal operation july,1,1
seal,94147,40,14,if they can t show the code and the logo like the good housekeeping seal of approval on their programs it should affect their donations said the rev,2,2
seal,18016,5,2,if the seal holds as expected and if initially encouraging results of a solid fuel booster rocket test in utah hold up the space agency may set a date next week for launching discovery on the first shuttle mission since challenger exploded and killed its crew of seven on jan,1,2
seal,75739,4,52,operating with a a year budget in the interior department the board would recommend movies for inclusion in a national film registry with up to movies to selected for the registry each year by the interior secretary a registered film would be given a special seal to denote its status and the seal could be used to promote any version of the movie that has not been materially altered a term that includes colorization and heavy editing,1,2
seal,75123,36,4,jackson had hoped to seal the hispanic vote but we have done well there he said,1,2
seal,81958,22,10,the coat of arms also appears on the president s seal which is most often seen attached to the front of a lectern,1,2
seal,33313,19,4,evidence was filed under seal in u s,1,2
seal,92074,17,29,there was concern that the booster rocket aboard discovery might have the same flaw but engineers worked overnight and determined from tests that even with such a defect the seal would perform properly,2,2
seal,33392,1,13,shultz met today with president amil gemayel of lebanon in an effort to seal a syrian arranged deal for a new lebanese constitution to end lebanon s year old civil war,2,2
seal,7763,5,5,we began applying foam to seal the roof and during the application of foam the fire broke out harrison said about to gallons of foam was inside the tank when fire broke out,2,2
seal,23358,16,3,environmentalists maintain the seal killing virus which reduces immunity and leads to pneumonia was caused by pollution,1,1
seal,88955,6,17,according to the faa of the fine pending against united was imposed after the airline removed vapor seal covers from the wings of its plane fleet of for about a month,1,2
